                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-macos-21.11.1"                                 "CRMATH"                               "20220211"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                       Orbital_separation                         Orbital_velocity                      Log_Infall_distance                      Log_Injected_energy                   Log_Destruction_factor                        Engulfed_fraction                      Total_mass_affected                              Planet_mass                            Planet_radius                             Bondi_radius                              Sound_speed                          Tidal_timescale                Log_Infall_distance_tides 
                                       1                                     3832                  1.0000000000000000E+005                  5.0000000000000000E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  8.4531877204575570E-002                  8.4454782405570208E-002                  3.9064867715215946E-008                  9.9999999996481204E-001                  9.7177887083509007E-001                  8.4454782405570208E-002                  3.9064867715215946E-008                  9.9999999996481204E-001                  9.7177887083509007E-001                 -1.4975330305045165E-001                 -4.7230249996315685E+001                 -1.5653559774527022E+001                 -1.4975330305045151E-001                 -2.1333809688767924E-001                 -1.0155889208923536E+000                 -4.7230249996315685E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7496834572521083E+000                 -1.4952751708108378E-001                 -5.1477512180261357E-002                  4.5410226516636554E+000                 -1.6956012852837271E-011                  1.7152668464947087E+001                  1.8873478987064509E+000                  7.1366563152071416E+000                  6.2135924775377638E-001                  8.4976174238782187E-001                  1.2973013216824811E+000                  6.9949846207058730E-001                  2.8035052511389019E-001                  2.9911972545917914E-003                  9.3805037617171478E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9990099277975426E-001                  2.8001921110337125E-001                                        0                                        3                  4.5000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-003                  1.0000000000000001E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       2                                     2471                  2.2000000000000000E+005                  5.0791812460476242E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  8.4058801223864554E-002                  8.3352492590051896E-002                  3.9064898115323291E-008                  9.9999999996481204E-001                  9.7171709428020403E-001                  8.3352492590051896E-002                  3.9064898115323291E-008                  9.9999999996481204E-001                  9.7171709428020403E-001                 -1.5128893358877690E-001                 -4.7232653413328684E+001                 -9.8999999999999986E+001                 -1.5128893358877690E-001                 -2.1478979826351047E-001                 -1.0176572383040523E+000                 -4.7232653413328684E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7495800544569109E+000                 -1.5058709230523501E-001                 -5.1800494201941494E-002                  4.5416686157070156E+000                 -1.5812380659507130E-011                  1.7152621415032943E+001                  1.8873423331281356E+000                  7.1366168745217706E+000                  6.2136234355425435E-001                  8.4975854220686731E-001                  1.2973098634242934E+000                  6.9949224109890118E-001                  2.8035582535746340E-001                  2.9824434661768952E-003                  9.3805032454734594E-003                  3.4468833607860750E-003                  9.3805276451495410E-003                  6.9989994008512968E-001                  2.8001980434078372E-001                                        0                                        3                  4.5000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-003                  1.0000000000000001E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       3                                     1830                  3.6400000000000000E+005                  5.1583624920952493E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  8.2934794074835214E-002                  8.1882772835990492E-002                  3.9064898559412501E-008                  9.9999999996481204E-001                  9.7165195005069904E-001                  8.1882772835990492E-002                  3.9064898559412501E-008                  9.9999999996481204E-001                  9.7165195005069904E-001                 -1.5275557769915615E-001                 -4.7235462240574357E+001                 -9.8999999999999986E+001                 -1.5275557769915615E-001                 -2.1609744856705804E-001                 -1.0201350721302573E+000                 -4.7235462240574357E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494610435758688E+000                 -1.5178229620237657E-001                 -5.2160074388428415E-002                  4.5423877760799893E+000                 -1.4660545432757421E-011                  1.7152585828482191E+001                  1.8873632130120881E+000                  7.1365626042510275E+000                  6.2136608408650895E-001                  8.4975469379344004E-001                  1.2973201659842886E+000                  6.9948472309703025E-001                  2.8036212686732165E-001                  2.9719251976276389E-003                  9.3805026231103764E-003                  3.4468833607860750E-003                  9.3805276451495410E-003                  6.9989867597200750E-001                  2.8002051146470952E-001                                        0                                        3                  4.5000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-003                  1.0000000000000001E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       4                                     1608                  5.3680000000000000E+005                  5.2375437381428744E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  8.1651901281919334E-002                  8.0423323173873962E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7157588020698948E-001                  8.0423323173873962E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7157588020698948E-001                 -1.5415309173991590E-001                 -4.7238844730032014E+001                 -9.8999999999999986E+001                 -1.5415309173991604E-001                 -2.1724844122057402E-001                 -1.0231058511962012E+000                 -4.7238844730032014E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7493278079296291E+000                 -1.5310143286834657E-001                 -5.2553171428934432E-002                  4.5431739701610017E+000                 -1.3346320840625150E-011                  1.7152575857602656E+001                  1.8874226615146878E+000                  7.1364955418986051E+000                  6.2137061559871332E-001                  8.4975004783149266E-001                  1.2973326325824162E+000                  6.9947561462108265E-001                  2.8036966607826280E-001                  2.9592069776175479E-003                  9.3805018672243126E-003                  3.4468833607860750E-003                  9.3805276451495410E-003                  6.9989715859360535E-001                  2.8002135507324571E-001                                        0                                        3                  4.5000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-003                  1.0000000000000001E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       5                                     1608                  7.4416000000000000E+005                  5.3167249841904987E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  8.0182974326173939E-002                  7.8963873511757432E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7149189065202790E-001                  7.8963873511757432E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7149189065202790E-001                 -1.5543718068490364E-001                 -4.7243022485335729E+001                 -9.8999999999999986E+001                 -1.5543718068490406E-001                 -2.1816784297203837E-001                 -1.0267294750047093E+000                 -4.7243022485335729E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7491811119050515E+000                 -1.5452478200936440E-001                 -5.2971453950289009E-002                  4.5440105352037108E+000                 -1.1825410365699453E-011                  1.7152593899444554E+001                  1.8875270771781729E+000                  7.1364117266918914E+000                  6.2137610326862558E-001                  8.4974444150215611E-001                  1.2973477109189240E+000                  6.9946458301716685E-001                  2.8037868185473536E-001                  2.9438523393451399E-003                  9.3805009499117239E-003                  3.4468833607860750E-003                  9.3805276451495410E-003                  6.9989533831743189E-001                  2.8002236286526427E-001                                        0                                        3                  4.5000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-003                  1.0000000000000001E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       6                                     1606                  9.9299200000000000E+005                  5.3959062302381238E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.8520109579417588E-002                  7.7515137500535791E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7140013387537993E-001                  7.7515137500535791E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7140013387537993E-001                 -1.5650807226788258E-001                 -4.7247943668976284E+001                 -9.8999999999999986E+001                 -1.5650807226788285E-001                 -2.1873359847865365E-001                 -1.0310651470192032E+000                 -4.7247943668976284E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7490239913168906E+000                 -1.5601264144612068E-001                 -5.3401142492344379E-002                  4.5448699122878216E+000                 -1.0115139844540739E-011                  1.7152646626975862E+001                  1.8876824470368736E+000                  7.1363119353415296E+000                  6.2138274490102663E-001                  8.4973767893440322E-001                  1.2973659377844815E+000                  6.9945122963904871E-001                  2.8038946592247382E-001                  2.9253440097302243E-003                  9.3804998374247255E-003                  3.4468833607860750E-003                  9.3805276451495410E-003                  6.9989315644507100E-001                  2.8002356925603389E-001                                        0                                        3                  4.5000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-003                  1.0000000000000001E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       7                                     1606                  1.2915903999999999E+006                  5.4750874762857489E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.6691117555693092E-002                  7.6066401489314150E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7129919176500334E-001                  7.6066401489314150E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7129919176500334E-001                 -1.5730390706401584E-001                 -4.7253687611401467E+001                 -1.5954589770191003E+001                 -1.5730390706401579E-001                 -2.1886034377049920E-001                 -1.0362294861890065E+000                 -4.7253687611401467E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7488613298631130E+000                 -1.5750536610882643E-001                 -5.3822181916142145E-002                  4.5457119911354171E+000                 -8.2530396400202977E-012                  1.7152728613525497E+001                  1.8878849526278252E+000                  7.1361947507529564E+000                  6.2139077596748582E-001                  8.4972952601013030E-001                  1.2973879523303458E+000                  6.9943507976264818E-001                  2.8040237297466458E-001                  2.9030785548377104E-003                  9.3804984894051893E-003                  3.4468833607860750E-003                  9.3805276451495410E-003                  6.9989054380018179E-001                  2.8002501710318672E-001                                        0                                        3                  4.5000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-003                  1.0000000000000001E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       8                                     1606                  1.6499084800000000E+006                  5.5542687223333731E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.4719181550301508E-002                  7.4628839875811648E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7118711979223027E-001                  7.4628839875811648E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7118711979223027E-001                 -1.5779820659526658E-001                 -4.7260349208156100E+001                 -9.8999999999999986E+001                 -1.5779820659526672E-001                 -2.1850199931075567E-001                 -1.0423651075654177E+000                 -4.7260349208156100E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7486977144253499E+000                 -1.5893641108397460E-001                 -5.4210473528189689E-002                  4.5464885743595120E+000                 -6.3378724383020664E-012                  1.7152829212594515E+001                  1.8881257630179460E+000                  7.1360586227912632E+000                  6.2140047660895203E-001                  8.4971970248391304E-001                  1.2974145157327122E+000                  6.9941556827209928E-001                  2.8041783710190216E-001                  2.8763530370127599E-003                  9.3804968573866030E-003                  3.4468833607860750E-003                  9.3805276451495410E-003                  6.9988741908371899E-001                  2.8002675977639763E-001                                        0                                        3                  4.5000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-003                  1.0000000000000001E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       9                                     1605                  2.0798901760000000E+006                  5.6334499683809982E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.2659860775829949E-002                  7.1765370070948131E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7107388600705979E-001                  7.1765370070948131E-002                  3.9064898559412501E-008                  9.9999999996637456E-001                  9.7107388600705979E-001                 -1.5823480547054627E-001                 -4.7268032858909862E+001                 -1.5477468515471340E+001                 -1.5823480547054608E-001                 -2.1791492693553013E-001                 -1.0496878180477114E+000                 -4.7268032858909862E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7485419097239041E+000                 -1.6020951719992069E-001                 -5.4535417183271720E-002                  4.5471384616696762E+000                 -4.4170484546911803E-012                  1.7152951279086317E+001                  1.8884101853126094E+000                  7.1359013330329137E+000                  6.2141226086222601E-001                  8.4970777331515457E-001                  1.2974467833036492E+000                  6.9939186695997713E-001                  2.8043659471505944E-001                  2.8438628806216329E-003                  9.3804948500494020E-003                  3.4468833607860750E-003                  9.3805276451495410E-003                  6.9988368531632394E-001                  2.8002886043874359E-001                                        0                                        3                  4.5000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E-003                  1.0000000000000001E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
